Step;Time(s);MeanReward;StdReward
50000;19,257;-2,459;1,278
100000;39,671;-2,263;1,125
150000;57,873;-2,192;1,420
200000;76,084;-1,497;1,723
250000;94,538;-1,252;1,627
300000;112,987;-0,904;1,375
350000;131,283;-1,155;1,600
400000;149,627;-1,116;1,464
450000;168,144;-1,235;1,667
500000;186,552;-1,117;1,589
550000;205,179;-1,023;1,525
600000;223,690;-0,796;1,403
650000;242,290;-0,842;1,385
700000;260,933;-0,644;1,290
750000;279,738;-0,730;1,435
800000;298,795;-0,680;1,365
850000;317,638;-0,853;1,377
900000;336,385;-0,772;1,435
950000;355,044;-0,848;1,425
1000000;373,949;-0,813;1,427
1050000;393,415;-0,689;1,341
1100000;412,367;-0,620;1,216
1150000;431,235;-0,713;1,323
1200000;450,417;-0,645;1,339
1250000;469,705;-0,622;1,287
1300000;488,897;-0,753;1,373
1350000;510,230;-0,735;1,434
1400000;529,317;-0,402;1,223
1450000;548,483;-0,484;1,217
1500000;567,301;-0,646;1,270
1550000;586,351;-0,285;1,023
1600000;605,368;-0,378;1,162
1650000;624,453;-0,354;1,142
1700000;643,738;-0,231;1,068
1750000;662,697;-0,483;1,174
1800000;681,829;-0,249;0,981
1850000;701,448;-0,283;1,092
1900000;721,039;-0,316;1,135
1950000;740,450;-0,425;1,252
2000000;759,679;-0,221;1,005
2050000;779,414;-0,143;0,961
2100000;798,895;-0,307;1,111
2150000;818,380;-0,013;0,848
2200000;837,842;-0,002;0,773
2250000;857,337;-0,087;0,977
2300000;876,725;-0,011;0,792
2350000;896,178;0,087;0,753
2400000;915,676;-0,037;0,995
2450000;934,714;0,140;0,697
2500000;953,927;0,035;0,789
2550000;975,741;0,189;0,664
2600000;995,112;0,240;0,569
2650000;1014,536;0,280;0,577
2700000;1034,251;0,312;0,506
2750000;1053,742;0,374;0,431
2800000;1072,848;0,363;0,450
2850000;1092,042;0,355;0,498
2900000;1111,325;0,349;0,466
2950000;1130,559;0,416;0,420
3000000;1149,629;0,383;0,368
3050000;1169,274;0,357;0,396
3100000;1188,756;0,383;0,343
3150000;1208,068;0,422;0,334
3200000;1227,676;0,361;0,467
3250000;1246,851;0,401;0,414
3300000;1266,013;0,395;0,336
3350000;1285,462;0,389;0,445
3400000;1304,908;0,344;0,457
3450000;1324,222;0,380;0,380
3500000;1343,667;0,410;0,371
3550000;1362,865;0,397;0,387
3600000;1382,317;0,379;0,389
3650000;1401,613;0,378;0,384
3700000;1420,942;0,391;0,351
3750000;1442,295;0,402;0,391
3800000;1461,261;0,381;0,347
3850000;1480,300;0,416;0,350
3900000;1499,284;0,393;0,350
3950000;1518,635;0,367;0,434
4000000;1537,876;0,396;0,346
4050000;1557,114;0,416;0,364
4100000;1576,482;0,431;0,382
4150000;1595,477;0,446;0,382
4200000;1614,431;0,423;0,348
4250000;1633,461;0,460;0,305
4300000;1652,713;0,453;0,307
4350000;1671,979;0,426;0,340
4400000;1691,929;0,414;0,306
4450000;1711,202;0,450;0,335
4500000;1730,376;0,475;0,364
4550000;1749,715;0,478;0,302
4600000;1768,876;0,452;0,337
4650000;1788,255;0,466;0,359
4700000;1807,847;0,466;0,305
4750000;1827,011;0,450;0,335
4800000;1846,273;0,479;0,330
4850000;1865,354;0,483;0,363
4900000;1884,465;0,461;0,362
4950000;1905,707;0,472;0,346
5000000;1924,309;0,480;0,309
5050000;1942,988;0,459;0,338
5100000;1961,977;0,460;0,343
5150000;1981,212;0,476;0,339
5200000;2000,243;0,493;0,349
5250000;2019,207;0,503;0,331
5300000;2038,683;0,472;0,372
5350000;2058,046;0,456;0,301
5400000;2077,300;0,472;0,299
5450000;2096,666;0,478;0,357
5500000;2116,727;0,487;0,312
5550000;2136,223;0,476;0,305
5600000;2155,452;0,492;0,337
5650000;2174,952;0,492;0,323
5700000;2194,444;0,477;0,330
5750000;2214,206;0,502;0,325
5800000;2233,629;0,489;0,340
5850000;2253,045;0,481;0,357
5900000;2272,626;0,495;0,321
5950000;2292,348;0,494;0,335
6000000;2311,830;0,451;0,335
6050000;2331,342;0,488;0,325
6100000;2350,559;0,454;0,339
6150000;2371,850;0,488;0,312
6200000;2391,105;0,458;0,296
6250000;2410,444;0,487;0,327
6300000;2429,873;0,499;0,328
6350000;2449,205;0,479;0,382
6400000;2468,489;0,497;0,347
6450000;2488,144;0,474;0,355
6500000;2507,418;0,498;0,307
6550000;2526,803;0,449;0,331
6600000;2546,022;0,472;0,335
6650000;2565,213;0,496;0,346
6700000;2584,307;0,474;0,331
6750000;2603,479;0,489;0,286
6800000;2622,576;0,477;0,347
6850000;2641,789;0,450;0,357
6900000;2660,861;0,478;0,319
6950000;2680,395;0,493;0,316
7000000;2699,700;0,489;0,306
7050000;2719,068;0,477;0,329
7100000;2738,612;0,481;0,340
7150000;2758,454;0,480;0,322
7200000;2777,632;0,501;0,316
7250000;2796,880;0,475;0,346
7300000;2818,601;0,513;0,325
7350000;2837,581;0,499;0,305
7400000;2857,505;0,495;0,357
7450000;2876,761;0,520;0,310
7500000;2896,181;0,500;0,319
7550000;2915,443;0,488;0,316
7600000;2934,913;0,486;0,341
7650000;2954,133;0,480;0,317
7700000;2973,811;0,510;0,324
7750000;2993,096;0,475;0,345
7800000;3012,272;0,482;0,343
7850000;3031,196;0,484;0,356
7900000;3050,400;0,476;0,305
7950000;3069,410;0,481;0,305
8000000;3088,402;0,489;0,310
8050000;3107,468;0,491;0,316
8100000;3126,529;0,490;0,328
8150000;3145,576;0,506;0,337
8200000;3164,554;0,505;0,319
8250000;3184,024;0,472;0,356
8300000;3203,392;0,487;0,317
8350000;3222,783;0,495;0,315
8400000;3241,934;0,487;0,311
8450000;3261,117;0,494;0,335
8500000;3280,157;0,496;0,313
8550000;3301,216;0,462;0,337
8600000;3320,511;0,495;0,338
8650000;3339,511;0,474;0,317
8700000;3358,706;0,464;0,334
8750000;3377,933;0,485;0,318
8800000;3397,167;0,486;0,315
8850000;3416,314;0,474;0,336
8900000;3435,426;0,484;0,379
8950000;3454,471;0,466;0,341
9000000;3473,456;0,475;0,364
9050000;3492,650;0,475;0,332
9100000;3511,892;0,504;0,294
9150000;3530,881;0,501;0,297
9200000;3549,988;0,486;0,315
9250000;3568,919;0,492;0,309
9300000;3588,026;0,477;0,361
9350000;3607,322;0,453;0,345
9400000;3626,630;0,501;0,309
9450000;3645,834;0,528;0,294
9500000;3665,033;0,472;0,313
9550000;3684,292;0,444;0,375
9600000;3703,403;0,514;0,323
9650000;3722,542;0,469;0,326
9700000;3743,673;0,506;0,296
9750000;3762,424;0,497;0,302
9800000;3781,832;0,488;0,326
9850000;3801,005;0,469;0,306
9900000;3820,317;0,470;0,293
9950000;3839,422;0,515;0,299
10000000;3858,557;0,484;0,315
